# ----------------------------------------,,,,,,,,,
# Cage Code Site Data,,,,,,,,,
# Interests: Other Categories,,,,,,,,,
# 20160401-20180407,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
Other Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Games/Computer & Video Games/Video Game Retailers,27,20,48,18.75%,3.67,0:04:42,0.00%,0,$0.00 
Hobbies & Leisure,27,21,34,8.82%,3.29,0:01:53,0.00%,0,$0.00 
Jobs & Education/Education/Homeschooling,27,18,51,17.65%,2.86,0:03:21,0.00%,0,$0.00 
Jobs & Education/Education/Teaching & Classroom Resources/Lesson Plans,27,22,70,20.00%,3.11,0:05:09,0.00%,0,$0.00 
Sports/Individual Sports,27,20,55,25.45%,2.71,0:01:57,0.00%,0,$0.00 
Arts & Entertainment/Movies/Classic Films/Silent Films,26,18,37,18.92%,3.43,0:05:51,0.00%,0,$0.00 
Business & Industrial/Business Services/Knowledge Management,26,18,44,22.73%,3.05,0:04:05,0.00%,0,$0.00 
Business & Industrial/Energy & Utilities/Renewable & Alternative Energy/Hydropower,26,21,27,25.93%,2.89,0:02:12,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/Gadgets & Portable Electronics/PDAs & Handhelds,26,20,70,30.00%,4.9,0:05:16,0.00%,0,$0.00 
Computers & Electronics/Software/Operating Systems/Mobile OS/BlackBerry OS,26,21,61,26.23%,3.02,0:02:31,0.00%,0,$0.00 
Home & Garden/Bed & Bath,26,18,95,14.74%,4.54,0:08:28,0.00%,0,$0.00 
Law & Government/Government/Lobbying,26,23,84,30.95%,2.8,0:02:29,0.00%,0,$0.00 
Shopping/Apparel/Women's Clothing/Skirts,26,22,38,26.32%,3.24,0:01:16,0.00%,0,$0.00 
Business & Industrial/Business Services,25,16,53,9.43%,4.3,0:05:31,0.00%,0,$0.00 
Computers & Electronics/Software/Operating Systems/Mobile OS,25,22,102,30.39%,2.86,0:04:34,0.00%,0,$0.00 
Computers & Electronics/Software/Operating Systems/Mobile OS/Windows Mobile OS,25,20,33,24.24%,8.27,0:07:50,0.00%,0,$0.00 
Hobbies & Leisure/Clubs & Organizations,25,7,254,25.59%,3.35,0:09:18,0.00%,0,$0.00 
Home & Garden/Kitchen & Dining/Small Kitchen Appliances/Bread Makers,25,18,31,29.03%,2.71,0:01:46,0.00%,0,$0.00 
Sports/Water Sports,25,20,33,12.12%,3.09,0:03:00,0.00%,0,$0.00 
Arts & Entertainment/Humor/Spoofs & Satire,23,21,34,14.71%,4.03,0:04:16,0.00%,0,$0.00 
"Food & Drink/Food/Jams, Jellies & Preserves",23,21,30,3.33%,2.7,0:01:33,0.00%,0,$0.00 
Home & Garden/Domestic Services,23,20,30,13.33%,3.1,0:03:49,0.00%,0,$0.00 
Jobs & Education/Education/Private Tutoring Services,23,21,26,11.54%,4.92,0:02:46,0.00%,0,$0.00 
Beauty & Fitness/Face & Body Care/Unwanted Body & Facial Hair Removal/Razors & Shavers,22,13,73,24.66%,3.34,0:07:00,0.00%,0,$0.00 
Games/Computer & Video Games/Simulation Games,22,20,69,17.39%,3.55,0:06:40,0.00%,0,$0.00 
Jobs & Education/Jobs/Job Listings/Retail Jobs,22,18,43,60.47%,1.86,0:01:01,0.00%,0,$0.00 
People & Society/Subcultures & Niche Interests/Goth Subculture,22,13,40,20.00%,2.92,0:02:40,0.00%,0,$0.00 
Arts & Entertainment/Entertainment Industry/Film & TV Industry,21,17,31,32.26%,2.45,0:01:14,0.00%,0,$0.00 
Arts & Entertainment/Events & Listings/Food & Beverage Events,21,18,29,24.14%,4.76,0:01:40,0.00%,0,$0.00 
Hobbies & Leisure/Crafts/Ceramics & Pottery,21,20,35,20.00%,4.26,0:06:39,0.00%,0,$0.00 
Home & Garden/Home Storage & Shelving/Cabinetry,21,21,26,26.92%,2.58,0:00:35,0.00%,0,$0.00 
Shopping/Photo & Video Services/Event & Studio Photography,21,14,29,24.14%,2.83,0:03:45,0.00%,0,$0.00 
Sports/Sporting Goods/Soccer Equipment,21,20,26,34.62%,2.77,0:02:50,0.00%,0,$0.00 
Sports/Sporting Goods/Table Tennis Equipment,21,14,30,23.33%,2.83,0:01:52,0.00%,0,$0.00 
Business & Industrial/Transportation & Logistics/Distribution & Logistics,20,16,33,30.30%,3.09,0:04:15,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/TV & Video Equipment/Televisions/Plasma TVs,20,17,23,17.39%,5.22,0:05:07,0.00%,0,$0.00 
"Finance/Grants, Scholarships & Financial Aid",20,17,22,22.73%,3.09,0:03:08,0.00%,0,$0.00 
Health Education & Medical Training,20,16,33,15.15%,3.09,0:02:09,0.00%,0,$0.00 
People & Society/Men's Interests,20,13,25,36.00%,2.12,0:01:00,0.00%,0,$0.00 
Real Estate/Real Estate Listings/Residential Rentals/Roommates & Shares,20,13,57,14.04%,2.86,0:02:51,0.00%,0,$0.00 
Science/Scientific Institutions,20,16,29,10.34%,2.38,0:00:57,0.00%,0,$0.00 
Sports/Sporting Goods/Combat Sports Equipment/Boxing Gloves & Gear,20,17,31,9.68%,6.74,0:07:34,0.00%,0,$0.00 
Travel,20,14,29,3.45%,2.38,0:01:47,0.00%,0,$0.00 
Autos & Vehicles/Bicycles & Accessories/Kids' Bikes,18,12,25,16.00%,3.44,0:02:11,0.00%,0,$0.00 
Games/Computer & Video Games/Sports Games/Sports Management Games,18,10,44,18.18%,2.45,0:01:35,0.00%,0,$0.00 
Home & Garden/Kitchen & Dining/Small Kitchen Appliances/Food Processors,18,18,26,34.62%,2.5,0:01:42,0.00%,0,$0.00 
Jobs & Education/Jobs,18,14,39,17.95%,2.95,0:05:34,0.00%,0,$0.00 
Finance/Banking/ATMs & Branch Locations,17,14,23,17.39%,4.61,0:06:01,0.00%,0,$0.00 
Food & Drink/Cooking & Recipes/Cuisines/French Cuisine,17,14,18,22.22%,2.78,0:02:16,0.00%,0,$0.00 
Food & Drink/Food/Gourmet & Specialty Foods,17,16,22,0.00%,4.86,0:01:49,0.00%,0,$0.00 
Home & Garden/HVAC & Climate Control/Heaters,17,13,31,29.03%,2.32,0:00:31,0.00%,0,$0.00 
Sports/Individual Sports/Skate Sports,17,12,34,23.53%,2.56,0:03:31,0.00%,0,$0.00 
Arts & Entertainment/Movies/Movie Memorabilia,16,13,22,18.18%,4.86,0:12:33,0.00%,0,$0.00 
Arts & Entertainment/Visual Art & Design/Design,16,14,29,31.03%,1.93,0:00:17,0.00%,0,$0.00 
Autos & Vehicles/Vehicle Parts & Services/Vehicle Repair & Maintenance/Oil Changes,16,12,17,5.88%,2.76,0:00:59,0.00%,0,$0.00 
Food & Drink/Cooking & Recipes/Cuisines/German Cuisine,16,10,30,3.33%,4.53,0:04:23,0.00%,0,$0.00 
Games/Family-Oriented Games & Activities,16,12,23,17.39%,2.91,0:02:26,0.00%,0,$0.00 
Games/Table Games,16,12,31,22.58%,3.23,0:03:35,0.00%,0,$0.00 
Internet & Telecom/Service Providers/Phone Service Providers/Calling Cards,16,10,44,20.45%,3.27,0:06:56,0.00%,0,$0.00 
Sports/Sporting Goods/Ice Skating Equipment,16,10,31,9.68%,3,0:02:57,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Urban & Hip-Hop,14,13,46,47.83%,2.24,0:02:27,0.00%,0,$0.00 
Beauty & Fitness/Cosmetology & Beauty Professionals,14,10,53,16.98%,3.64,0:04:51,0.00%,0,$0.00 
Computers & Electronics/Software/Internet Software/Download Managers,14,13,21,19.05%,3.9,0:01:33,0.00%,0,$0.00 
Games/Family-Oriented Games & Activities/Dress-Up & Fashion Games,14,10,27,33.33%,2.37,0:06:25,0.00%,0,$0.00 
Home & Garden/Home Furnishings/Countertops,14,10,18,5.56%,3.28,0:00:50,0.00%,0,$0.00 
Business & Industrial/Agriculture & Forestry/Farms & Ranches,13,12,16,0.00%,3,0:01:38,0.00%,0,$0.00 
Internet & Telecom/Web Services,13,12,17,5.88%,3.53,0:01:34,0.00%,0,$0.00 
Law & Government/Public Safety,13,12,14,21.43%,2.5,0:00:23,0.00%,0,$0.00 
,"1,249,605","994,578","2,690,774",18.86%,3.61,0:04:25,0.00%,0,$0.00 
,,,,,,,,,
Day Index,Users,,,,,,,,
4/1/2016,357,,,,,,,,
4/2/2016,35,,,,,,,,
4/3/2016,55,,,,,,,,
4/4/2016,483,,,,,,,,
4/5/2016,557,,,,,,,,
4/6/2016,543,,,,,,,,
4/7/2016,523,,,,,,,,
4/8/2016,382,,,,,,,,
4/9/2016,50,,,,,,,,
4/10/2016,53,,,,,,,,
4/11/2016,508,,,,,,,,
4/12/2016,578,,,,,,,,
4/13/2016,517,,,,,,,,
4/14/2016,536,,,,,,,,
4/15/2016,527,,,,,,,,
4/16/2016,39,,,,,,,,
4/17/2016,53,,,,,,,,
4/18/2016,528,,,,,,,,
4/19/2016,487,,,,,,,,
4/20/2016,485,,,,,,,,
4/21/2016,461,,,,,,,,
4/22/2016,348,,,,,,,,
4/23/2016,8,,,,,,,,
4/24/2016,50,,,,,,,,
4/25/2016,509,,,,,,,,
4/26/2016,511,,,,,,,,
4/27/2016,463,,,,,,,,
4/28/2016,511,,,,,,,,
4/29/2016,352,,,,,,,,
4/30/2016,37,,,,,,,,
5/1/2016,60,,,,,,,,
5/2/2016,425,,,,,,,,
5/3/2016,510,,,,,,,,
5/4/2016,501,,,,,,,,
5/5/2016,432,,,,,,,,
5/6/2016,303,,,,,,,,
5/7/2016,37,,,,,,,,
5/8/2016,47,,,,,,,,
5/9/2016,484,,,,,,,,
5/10/2016,518,,,,,,,,
5/11/2016,476,,,,,,,,
5/12/2016,524,,,,,,,,
5/13/2016,387,,,,,,,,
5/14/2016,23,,,,,,,,
5/15/2016,59,,,,,,,,
5/16/2016,463,,,,,,,,
5/17/2016,468,,,,,,,,
5/18/2016,497,,,,,,,,
5/19/2016,461,,,,,,,,
5/20/2016,309,,,,,,,,
5/21/2016,35,,,,,,,,
5/22/2016,63,,,,,,,,
5/23/2016,427,,,,,,,,
5/24/2016,449,,,,,,,,
5/25/2016,444,,,,,,,,
5/26/2016,415,,,,,,,,
5/27/2016,264,,,,,,,,
5/28/2016,30,,,,,,,,
5/29/2016,64,,,,,,,,
5/30/2016,116,,,,,,,,
5/31/2016,403,,,,,,,,
6/1/2016,478,,,,,,,,
6/2/2016,461,,,,,,,,
6/3/2016,338,,,,,,,,
6/4/2016,37,,,,,,,,
6/5/2016,52,,,,,,,,
6/6/2016,423,,,,,,,,
6/7/2016,492,,,,,,,,
6/8/2016,445,,,,,,,,
6/9/2016,478,,,,,,,,
6/10/2016,338,,,,,,,,
6/11/2016,29,,,,,,,,
6/12/2016,63,,,,,,,,
6/13/2016,438,,,,,,,,
6/14/2016,481,,,,,,,,
6/15/2016,483,,,,,,,,
6/16/2016,498,,,,,,,,
6/17/2016,327,,,,,,,,
6/18/2016,33,,,,,,,,
6/19/2016,61,,,,,,,,
6/20/2016,471,,,,,,,,
6/21/2016,480,,,,,,,,
6/22/2016,488,,,,,,,,
6/23/2016,466,,,,,,,,
6/24/2016,309,,,,,,,,
6/25/2016,37,,,,,,,,
6/26/2016,65,,,,,,,,
6/27/2016,493,,,,,,,,
6/28/2016,500,,,,,,,,
6/29/2016,508,,,,,,,,
6/30/2016,437,,,,,,,,
7/1/2016,304,,,,,,,,
7/2/2016,35,,,,,,,,
7/3/2016,48,,,,,,,,
7/4/2016,136,,,,,,,,
7/5/2016,380,,,,,,,,
7/6/2016,496,,,,,,,,
7/7/2016,448,,,,,,,,
7/8/2016,363,,,,,,,,
7/9/2016,53,,,,,,,,
7/10/2016,70,,,,,,,,
7/11/2016,488,,,,,,,,
7/12/2016,476,,,,,,,,
7/13/2016,478,,,,,,,,
7/14/2016,468,,,,,,,,
7/15/2016,356,,,,,,,,
7/16/2016,31,,,,,,,,
7/17/2016,59,,,,,,,,
7/18/2016,440,,,,,,,,
7/19/2016,458,,,,,,,,
7/20/2016,461,,,,,,,,
7/21/2016,470,,,,,,,,
7/22/2016,372,,,,,,,,
7/23/2016,35,,,,,,,,
7/24/2016,77,,,,,,,,
7/25/2016,488,,,,,,,,
7/26/2016,468,,,,,,,,
7/27/2016,488,,,,,,,,
7/28/2016,457,,,,,,,,
7/29/2016,303,,,,,,,,
7/30/2016,31,,,,,,,,
7/31/2016,67,,,,,,,,
8/1/2016,438,,,,,,,,
8/2/2016,504,,,,,,,,
8/3/2016,457,,,,,,,,
8/4/2016,431,,,,,,,,
8/5/2016,339,,,,,,,,
8/6/2016,34,,,,,,,,
8/7/2016,61,,,,,,,,
8/8/2016,451,,,,,,,,
8/9/2016,489,,,,,,,,
8/10/2016,513,,,,,,,,
8/11/2016,418,,,,,,,,
8/12/2016,300,,,,,,,,
8/13/2016,30,,,,,,,,
8/14/2016,44,,,,,,,,
8/15/2016,440,,,,,,,,
8/16/2016,479,,,,,,,,
8/17/2016,475,,,,,,,,
8/18/2016,461,,,,,,,,
8/19/2016,371,,,,,,,,
8/20/2016,53,,,,,,,,
8/21/2016,63,,,,,,,,
8/22/2016,509,,,,,,,,
8/23/2016,551,,,,,,,,
8/24/2016,508,,,,,,,,
8/25/2016,444,,,,,,,,
8/26/2016,317,,,,,,,,
8/27/2016,43,,,,,,,,
8/28/2016,61,,,,,,,,
8/29/2016,448,,,,,,,,
8/30/2016,498,,,,,,,,
8/31/2016,450,,,,,,,,
9/1/2016,423,,,,,,,,
9/2/2016,339,,,,,,,,
9/3/2016,34,,,,,,,,
9/4/2016,67,,,,,,,,
9/5/2016,154,,,,,,,,
9/6/2016,522,,,,,,,,
9/7/2016,488,,,,,,,,
9/8/2016,539,,,,,,,,
9/9/2016,369,,,,,,,,
9/10/2016,47,,,,,,,,
9/11/2016,72,,,,,,,,
9/12/2016,522,,,,,,,,
9/13/2016,491,,,,,,,,
9/14/2016,511,,,,,,,,
9/15/2016,513,,,,,,,,
9/16/2016,382,,,,,,,,
9/17/2016,33,,,,,,,,
9/18/2016,67,,,,,,,,
9/19/2016,491,,,,,,,,
9/20/2016,506,,,,,,,,
9/21/2016,569,,,,,,,,
9/22/2016,528,,,,,,,,
9/23/2016,395,,,,,,,,
9/24/2016,55,,,,,,,,
9/25/2016,80,,,,,,,,
9/26/2016,504,,,,,,,,
9/27/2016,548,,,,,,,,
9/28/2016,668,,,,,,,,
9/29/2016,531,,,,,,,,
9/30/2016,402,,,,,,,,
10/1/2016,43,,,,,,,,
10/2/2016,56,,,,,,,,
10/3/2016,479,,,,,,,,
10/4/2016,570,,,,,,,,
10/5/2016,510,,,,,,,,
10/6/2016,428,,,,,,,,
10/7/2016,303,,,,,,,,
10/8/2016,53,,,,,,,,
10/9/2016,56,,,,,,,,
10/10/2016,398,,,,,,,,
10/11/2016,532,,,,,,,,
10/12/2016,459,,,,,,,,
10/13/2016,522,,,,,,,,
10/14/2016,425,,,,,,,,
10/15/2016,50,,,,,,,,
10/16/2016,97,,,,,,,,
10/17/2016,540,,,,,,,,
10/18/2016,569,,,,,,,,
10/19/2016,556,,,,,,,,
10/20/2016,483,,,,,,,,
10/21/2016,394,,,,,,,,
10/22/2016,40,,,,,,,,
10/23/2016,78,,,,,,,,
10/24/2016,527,,,,,,,,
10/25/2016,497,,,,,,,,
10/26/2016,526,,,,,,,,
10/27/2016,540,,,,,,,,
10/28/2016,376,,,,,,,,
10/29/2016,39,,,,,,,,
10/30/2016,59,,,,,,,,
10/31/2016,535,,,,,,,,
11/1/2016,515,,,,,,,,
11/2/2016,502,,,,,,,,
11/3/2016,502,,,,,,,,
11/4/2016,355,,,,,,,,
11/5/2016,33,,,,,,,,
11/6/2016,70,,,,,,,,
11/7/2016,511,,,,,,,,
11/8/2016,492,,,,,,,,
11/9/2016,524,,,,,,,,
11/10/2016,488,,,,,,,,
11/11/2016,313,,,,,,,,
11/12/2016,42,,,,,,,,
11/13/2016,89,,,,,,,,
11/14/2016,506,,,,,,,,
11/15/2016,523,,,,,,,,
11/16/2016,560,,,,,,,,
11/17/2016,491,,,,,,,,
11/18/2016,364,,,,,,,,
11/19/2016,46,,,,,,,,
11/20/2016,72,,,,,,,,
11/21/2016,494,,,,,,,,
11/22/2016,496,,,,,,,,
11/23/2016,412,,,,,,,,
11/24/2016,172,,,,,,,,
11/25/2016,112,,,,,,,,
11/26/2016,31,,,,,,,,
11/27/2016,84,,,,,,,,
11/28/2016,500,,,,,,,,
11/29/2016,510,,,,,,,,
11/30/2016,453,,,,,,,,
12/1/2016,463,,,,,,,,
12/2/2016,384,,,,,,,,
12/3/2016,55,,,,,,,,
12/4/2016,93,,,,,,,,
12/5/2016,508,,,,,,,,
12/6/2016,509,,,,,,,,
12/7/2016,528,,,,,,,,
12/8/2016,564,,,,,,,,
12/9/2016,386,,,,,,,,
12/10/2016,46,,,,,,,,
12/11/2016,69,,,,,,,,
12/12/2016,548,,,,,,,,
12/13/2016,511,,,,,,,,
12/14/2016,459,,,,,,,,
12/15/2016,531,,,,,,,,
12/16/2016,359,,,,,,,,
12/17/2016,34,,,,,,,,
12/18/2016,76,,,,,,,,
12/19/2016,468,,,,,,,,
12/20/2016,540,,,,,,,,
12/21/2016,429,,,,,,,,
12/22/2016,369,,,,,,,,
12/23/2016,166,,,,,,,,
12/24/2016,27,,,,,,,,
12/25/2016,33,,,,,,,,
12/26/2016,86,,,,,,,,
12/27/2016,240,,,,,,,,
12/28/2016,256,,,,,,,,
12/29/2016,235,,,,,,,,
12/30/2016,146,,,,,,,,
12/31/2016,26,,,,,,,,
1/1/2017,34,,,,,,,,
1/2/2017,107,,,,,,,,
1/3/2017,333,,,,,,,,
1/4/2017,411,,,,,,,,
1/5/2017,446,,,,,,,,
1/6/2017,382,,,,,,,,
1/7/2017,51,,,,,,,,
1/8/2017,70,,,,,,,,
1/9/2017,454,,,,,,,,
1/10/2017,535,,,,,,,,
1/11/2017,548,,,,,,,,
1/12/2017,534,,,,,,,,
1/13/2017,398,,,,,,,,
1/14/2017,48,,,,,,,,
1/15/2017,82,,,,,,,,
1/16/2017,488,,,,,,,,
1/17/2017,581,,,,,,,,
1/18/2017,617,,,,,,,,
1/19/2017,549,,,,,,,,
1/20/2017,434,,,,,,,,
1/21/2017,39,,,,,,,,
1/22/2017,95,,,,,,,,
1/23/2017,611,,,,,,,,
1/24/2017,579,,,,,,,,
1/25/2017,498,,,,,,,,
1/26/2017,536,,,,,,,,
1/27/2017,420,,,,,,,,
1/28/2017,46,,,,,,,,
1/29/2017,78,,,,,,,,
1/30/2017,544,,,,,,,,
1/31/2017,594,,,,,,,,
2/1/2017,591,,,,,,,,
2/2/2017,586,,,,,,,,
2/3/2017,466,,,,,,,,
2/4/2017,47,,,,,,,,
2/5/2017,89,,,,,,,,
2/6/2017,613,,,,,,,,
2/7/2017,661,,,,,,,,
2/8/2017,680,,,,,,,,
2/9/2017,643,,,,,,,,
2/10/2017,522,,,,,,,,
2/11/2017,72,,,,,,,,
2/12/2017,70,,,,,,,,
2/13/2017,604,,,,,,,,
2/14/2017,672,,,,,,,,
2/15/2017,669,,,,,,,,
2/16/2017,710,,,,,,,,
2/17/2017,455,,,,,,,,
2/18/2017,56,,,,,,,,
2/19/2017,114,,,,,,,,
2/20/2017,528,,,,,,,,
2/21/2017,660,,,,,,,,
2/22/2017,699,,,,,,,,
2/23/2017,628,,,,,,,,
2/24/2017,429,,,,,,,,
2/25/2017,37,,,,,,,,
2/26/2017,68,,,,,,,,
2/27/2017,634,,,,,,,,
2/28/2017,611,,,,,,,,
3/1/2017,682,,,,,,,,
3/2/2017,583,,,,,,,,
3/3/2017,458,,,,,,,,
3/4/2017,40,,,,,,,,
3/5/2017,106,,,,,,,,
3/6/2017,703,,,,,,,,
3/7/2017,630,,,,,,,,
3/8/2017,706,,,,,,,,
3/9/2017,650,,,,,,,,
3/10/2017,485,,,,,,,,
3/11/2017,57,,,,,,,,
3/12/2017,86,,,,,,,,
3/13/2017,684,,,,,,,,
3/14/2017,639,,,,,,,,
3/15/2017,656,,,,,,,,
3/16/2017,645,,,,,,,,
3/17/2017,506,,,,,,,,
3/18/2017,70,,,,,,,,
3/19/2017,80,,,,,,,,
3/20/2017,664,,,,,,,,
3/21/2017,721,,,,,,,,
3/22/2017,720,,,,,,,,
3/23/2017,633,,,,,,,,
3/24/2017,497,,,,,,,,
3/25/2017,55,,,,,,,,
3/26/2017,94,,,,,,,,
3/27/2017,724,,,,,,,,
3/28/2017,736,,,,,,,,
3/29/2017,752,,,,,,,,
3/30/2017,708,,,,,,,,
3/31/2017,561,,,,,,,,
4/1/2017,55,,,,,,,,
4/2/2017,98,,,,,,,,
4/3/2017,689,,,,,,,,
4/4/2017,761,,,,,,,,
4/5/2017,742,,,,,,,,
4/6/2017,725,,,,,,,,
4/7/2017,519,,,,,,,,
4/8/2017,56,,,,,,,,
4/9/2017,98,,,,,,,,
4/10/2017,680,,,,,,,,
4/11/2017,684,,,,,,,,
4/12/2017,723,,,,,,,,
4/13/2017,660,,,,,,,,
4/14/2017,327,,,,,,,,
4/15/2017,60,,,,,,,,
4/16/2017,57,,,,,,,,
4/17/2017,518,,,,,,,,
4/18/2017,716,,,,,,,,
4/19/2017,728,,,,,,,,
4/20/2017,795,,,,,,,,
4/21/2017,528,,,,,,,,
4/22/2017,52,,,,,,,,
4/23/2017,104,,,,,,,,
4/24/2017,740,,,,,,,,
4/25/2017,742,,,,,,,,
4/26/2017,714,,,,,,,,
4/27/2017,741,,,,,,,,
4/28/2017,583,,,,,,,,
4/29/2017,84,,,,,,,,
4/30/2017,67,,,,,,,,
5/1/2017,639,,,,,,,,
5/2/2017,770,,,,,,,,
5/3/2017,761,,,,,,,,
5/4/2017,711,,,,,,,,
5/5/2017,522,,,,,,,,
5/6/2017,59,,,,,,,,
5/7/2017,94,,,,,,,,
5/8/2017,784,,,,,,,,
5/9/2017,813,,,,,,,,
5/10/2017,752,,,,,,,,
5/11/2017,742,,,,,,,,
5/12/2017,569,,,,,,,,
5/13/2017,60,,,,,,,,
5/14/2017,76,,,,,,,,
5/15/2017,735,,,,,,,,
5/16/2017,753,,,,,,,,
5/17/2017,705,,,,,,,,
5/18/2017,682,,,,,,,,
5/19/2017,543,,,,,,,,
5/20/2017,50,,,,,,,,
5/21/2017,91,,,,,,,,
5/22/2017,690,,,,,,,,
5/23/2017,749,,,,,,,,
5/24/2017,762,,,,,,,,
5/25/2017,634,,,,,,,,
5/26/2017,481,,,,,,,,
5/27/2017,38,,,,,,,,
5/28/2017,82,,,,,,,,
5/29/2017,211,,,,,,,,
5/30/2017,721,,,,,,,,
5/31/2017,647,,,,,,,,
6/1/2017,702,,,,,,,,
6/2/2017,416,,,,,,,,
6/3/2017,59,,,,,,,,
6/4/2017,93,,,,,,,,
6/5/2017,573,,,,,,,,
6/6/2017,701,,,,,,,,
6/7/2017,650,,,,,,,,
6/8/2017,613,,,,,,,,
6/9/2017,509,,,,,,,,
6/10/2017,53,,,,,,,,
6/11/2017,85,,,,,,,,
6/12/2017,667,,,,,,,,
6/13/2017,707,,,,,,,,
6/14/2017,673,,,,,,,,
6/15/2017,652,,,,,,,,
6/16/2017,425,,,,,,,,
6/17/2017,70,,,,,,,,
6/18/2017,102,,,,,,,,
6/19/2017,676,,,,,,,,
6/20/2017,698,,,,,,,,
6/21/2017,603,,,,,,,,
6/22/2017,561,,,,,,,,
6/23/2017,385,,,,,,,,
6/24/2017,48,,,,,,,,
6/25/2017,80,,,,,,,,
6/26/2017,665,,,,,,,,
6/27/2017,522,,,,,,,,
6/28/2017,629,,,,,,,,
6/29/2017,554,,,,,,,,
6/30/2017,387,,,,,,,,
7/1/2017,34,,,,,,,,
7/2/2017,57,,,,,,,,
7/3/2017,314,,,,,,,,
7/4/2017,196,,,,,,,,
7/5/2017,578,,,,,,,,
7/6/2017,658,,,,,,,,
7/7/2017,454,,,,,,,,
7/8/2017,30,,,,,,,,
7/9/2017,82,,,,,,,,
7/10/2017,609,,,,,,,,
7/11/2017,554,,,,,,,,
7/12/2017,592,,,,,,,,
7/13/2017,522,,,,,,,,
7/14/2017,327,,,,,,,,
7/15/2017,39,,,,,,,,
7/16/2017,64,,,,,,,,
7/17/2017,513,,,,,,,,
7/18/2017,489,,,,,,,,
7/19/2017,530,,,,,,,,
7/20/2017,455,,,,,,,,
7/21/2017,342,,,,,,,,
7/22/2017,31,,,,,,,,
7/23/2017,55,,,,,,,,
7/24/2017,458,,,,,,,,
7/25/2017,474,,,,,,,,
7/26/2017,459,,,,,,,,
7/27/2017,458,,,,,,,,
7/28/2017,270,,,,,,,,
7/29/2017,40,,,,,,,,
7/30/2017,65,,,,,,,,
7/31/2017,401,,,,,,,,
8/1/2017,425,,,,,,,,
8/2/2017,668,,,,,,,,
8/3/2017,655,,,,,,,,
8/4/2017,489,,,,,,,,
8/5/2017,43,,,,,,,,
8/6/2017,87,,,,,,,,
8/7/2017,625,,,,,,,,
8/8/2017,675,,,,,,,,
8/9/2017,676,,,,,,,,
8/10/2017,631,,,,,,,,
8/11/2017,487,,,,,,,,
8/12/2017,55,,,,,,,,
8/13/2017,87,,,,,,,,
8/14/2017,573,,,,,,,,
8/15/2017,620,,,,,,,,
8/16/2017,601,,,,,,,,
8/17/2017,624,,,,,,,,
8/18/2017,454,,,,,,,,
8/19/2017,38,,,,,,,,
8/20/2017,85,,,,,,,,
8/21/2017,566,,,,,,,,
8/22/2017,645,,,,,,,,
8/23/2017,618,,,,,,,,
8/24/2017,625,,,,,,,,
8/25/2017,451,,,,,,,,
8/26/2017,44,,,,,,,,
8/27/2017,93,,,,,,,,
8/28/2017,629,,,,,,,,
8/29/2017,672,,,,,,,,
8/30/2017,669,,,,,,,,
8/31/2017,539,,,,,,,,
9/1/2017,410,,,,,,,,
9/2/2017,47,,,,,,,,
9/3/2017,64,,,,,,,,
9/4/2017,153,,,,,,,,
9/5/2017,502,,,,,,,,
9/6/2017,541,,,,,,,,
9/7/2017,427,,,,,,,,
9/8/2017,317,,,,,,,,
9/9/2017,40,,,,,,,,
9/10/2017,67,,,,,,,,
9/11/2017,491,,,,,,,,
9/12/2017,549,,,,,,,,
9/13/2017,557,,,,,,,,
9/14/2017,587,,,,,,,,
9/15/2017,410,,,,,,,,
9/16/2017,37,,,,,,,,
9/17/2017,68,,,,,,,,
9/18/2017,573,,,,,,,,
9/19/2017,585,,,,,,,,
9/20/2017,557,,,,,,,,
9/21/2017,511,,,,,,,,
9/22/2017,420,,,,,,,,
9/23/2017,50,,,,,,,,
9/24/2017,70,,,,,,,,
9/25/2017,535,,,,,,,,
9/26/2017,616,,,,,,,,
9/27/2017,634,,,,,,,,
9/28/2017,600,,,,,,,,
9/29/2017,467,,,,,,,,
9/30/2017,55,,,,,,,,
10/1/2017,73,,,,,,,,
10/2/2017,514,,,,,,,,
10/3/2017,591,,,,,,,,
10/4/2017,560,,,,,,,,
10/5/2017,530,,,,,,,,
10/6/2017,343,,,,,,,,
10/7/2017,55,,,,,,,,
10/8/2017,85,,,,,,,,
10/9/2017,476,,,,,,,,
10/10/2017,564,,,,,,,,
10/11/2017,534,,,,,,,,
10/12/2017,536,,,,,,,,
10/13/2017,411,,,,,,,,
10/14/2017,50,,,,,,,,
10/15/2017,70,,,,,,,,
10/16/2017,652,,,,,,,,
10/17/2017,611,,,,,,,,
10/18/2017,553,,,,,,,,
10/19/2017,544,,,,,,,,
10/20/2017,360,,,,,,,,
10/21/2017,37,,,,,,,,
10/22/2017,100,,,,,,,,
10/23/2017,583,,,,,,,,
10/24/2017,620,,,,,,,,
10/25/2017,599,,,,,,,,
10/26/2017,553,,,,,,,,
10/27/2017,415,,,,,,,,
10/28/2017,55,,,,,,,,
10/29/2017,102,,,,,,,,
