# ----------------------------------------,,,,,,,,,
# Cage Code Site Data,,,,,,,,,
# Interests: Other Categories,,,,,,,,,
# 20160401-20180407,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
Other Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Computers & Electronics/Software/Multimedia Software/Graphics & Animation Software,"1,504","1,104","2,703",15.32%,3.72,0:04:53,0.00%,0,$0.00 
News/Technology News,"1,490","1,269","2,903",28.21%,3.18,0:03:16,0.00%,0,$0.00 
Sports/Fantasy Sports,"1,490","1,281","3,011",18.10%,3.44,0:04:20,0.00%,0,$0.00 
Shopping/Apparel/Clothing Accessories/Watches,"1,482","1,164","2,826",23.64%,3.38,0:03:47,0.00%,0,$0.00 
Reference/Language Resources,"1,461","1,058","2,989",20.91%,3.21,0:03:54,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Rock Music,"1,455","1,091","3,079",17.83%,3.43,0:04:15,0.00%,0,$0.00 
Arts & Entertainment/TV & Video/TV Networks & Stations,"1,446","1,168","3,125",20.67%,3.28,0:03:30,0.00%,0,$0.00 
Computers & Electronics/Programming,"1,425","1,076","2,705",18.96%,5.06,0:06:19,0.00%,0,$0.00 
Finance/Credit & Lending/Credit Cards,"1,417","1,156","2,483",18.57%,3.52,0:03:43,0.00%,0,$0.00 
Food & Drink/Food & Grocery Retailers,"1,408","1,070","3,155",20.73%,3.17,0:03:50,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Rock Music/Metal (Music),"1,403","1,083","3,302",17.87%,3.66,0:04:10,0.00%,0,$0.00 
Business & Industrial/Construction & Maintenance/Building Materials & Supplies/Plumbing Fixtures & Equipment,"1,403","1,052","2,562",15.57%,3.45,0:03:28,0.00%,0,$0.00 
Online Communities/Online Goodies/Clip Art & Animated GIFs,"1,389","1,106","2,560",19.77%,3.3,0:03:56,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/Gadgets & Portable Electronics/Tablet PCs,"1,384","1,113","2,184",16.85%,3.41,0:03:48,0.00%,0,$0.00 
Home & Garden/Domestic Services/Cleaning Services,"1,383","1,087","2,266",21.32%,3.34,0:03:41,0.00%,0,$0.00 
Computers & Electronics/Computer Hardware/Computer Components/Chips & Processors,"1,382","1,058","2,668",18.33%,4.36,0:05:10,0.00%,0,$0.00 
Reference/Language Resources/Foreign Language Resources/Foreign Language Study,"1,378","1,067","3,498",20.81%,4.45,0:04:37,0.00%,0,$0.00 
Autos & Vehicles/Campers & RVs,"1,375","1,118","2,457",15.22%,4.1,0:04:09,0.00%,0,$0.00 
